Name;Also Known As;Biography;Date of Birth;Website;Twitter;Instagram;Ethereum Address 1;Ethereum Address 2;Ethereum Address 3;Tezos Address 1;Tezos Address 2;Tezos Address 3
Claire Silver;;"<p id="""">Claire Silver is a digital artist renowned for her distinctive approach to creating art with artificial intelligence. She aims to transport viewers beyond themselves, allowing them to experience profound and ineffable truths. With a background in art history and marketing, Silver began her career as a traditional artist before delving into generative media and AI tools. Her art delves into themes of vulnerability, trauma, disability, social hierarchy, innocence and divinity, prompting contemplation on their role in our transhumanist future. In the face of the growing influence of AI, Silver perceives herself as a ""caveman painting fire,"" emphasizing the importance of acknowledging the innate longing for transcendence that defines our human existence. She advocates for embracing this longing as we progress into the future, making a commitment to carry it forward.</p>";;https://www.clairesilver.com/;https://twitter.com/ClaireSilver12;https://www.instagram.com/clairesilveraiart/?hl=en;0x4bf7Db76757302876d319Ab727E26ab66753128C;0x9aAdDc5040D2093dC0dafC0803CbfcA822341BCa;;tz1PgVDVv1pKgH4reCN4gBbEHTGq8qBFUdwB;;
Cornelia Sollfrank;;"<p id="""">“A smart artist makes the machine do the work”<br><br>Cornelia Sollfrank (PhD) is an artist, researcher and writer living in Berlin (Germany). She studied painting at the Academy of Fine Arts in Munich and Fine Arts at the University of the Arts in Hamburg (1987-1994). Since 1998, she has taught at various international universities and art colleges, conducts autonomous and institutional research, and publishes on topics at the intersection of art, technology and (gender) politics. In 2011 Sollfrank completed her practice-led research at the University of Dundee (UK) and published her PhD thesis “Performing the Paradoxes of Intellectual Property.” In addition to her work in the artistic and academic field, Sollfrank gathered experience in the private sector by working as product manager for Philips Media (1995/1996). As a pioneer of Internet art, Sollfrank is well known for her net.art generator and Female Extension projects, as well as her involvement in cyberfeminism.</p>";June 11, 1960;https://net.art-generator.com/;https://twitter.com/csollfrank;https://www.instagram.com/coco_sollfrank/;0x02f38C2c614B9314E80358d0ae9ccC1704414239;;;;;
Cory Haber;;<p>Since 2014, Cory has honed his skills to develop a unique method of creating original artwork. He employs plotters and 3D-printed paintbrushes, meticulously crafted by him, to produce large-scale paintings on canvas. Each of his creations, both digital and physical, stems from the same foundational source code, yet evolves into separate, distinct pieces of art. Cory's work is a reflection of the rapidly evolving digital age. His art embodies the harmony of creativity and technology, offering viewers an immersive experience that transcends traditional artistic boundaries. As a generative artist, Cory challenges the conventional norms of artistry and invites us to explore the infinite possibilities of the digital realm, all while staying deeply rooted in the beauty of the natural world.</p>;;https://www.coryhaber.com/;https://x.com/Cory_Haber;https://www.instagram.com/coryhaber/;0xCb97A05A140Bf08fbba30a6fA43B3a30539F01a7;;;tz1XWSWBhv9aSDhzApJ2jteVcQ9y4YUePV9j;;
Daniel Calderon Arenas;DCA;<p>Daniel Calderon Arenas is a Houston-based educator and generative artist. With a focus on generative art since 2017, Daniel's work delves into various subjects, encompassing language, meaning, and the natural world. Embracing the element of chance and randomness inherent in computer processes, Daniel widens his creative vision by incorporating algorithmic methods. Through this lens, he reinterprets natural phenomena, such as the branching system of a tree or the form of a rock. Driven by curiosity and a passion for exploration, Daniel's artwork reflects his current interests and showcases a thoughtful use of color. Alongside his artistic endeavors, Daniel has taught courses on coding and digital processes at the K. G. McGovern College of the Arts.</p>;;;https://twitter.com/DaCaldera;https://www.instagram.com/dacaldera/;0x745cFab7b52a45Cdb75BDBCdb6e4562Ef25F166B;;;;;
Dave Whyte;beesandbombs;"<p id="""">Dave Whyte is a motion designer and generative artist based in Dublin, Ireland. He earned a PhD in Physics from Trinity College, Dublin, but shifted his focus to full-time motion design after being inspired by early GIF art on Tumblr. Operating under the moniker “beesandbombs,” he has created thousands of captivating animated loops using code. His work delves deep into the details of procedural form and perception. His mind-bending looping aesthetic has captured the imaginations of viewers across the internet and his influential Tumblr account helped popularize coded GIFs.</p>";;https://beesandbombs.com/;https://twitter.com/beesandbombs;https://www.instagram.com/davebeesbombs/;0x767b2D575B8797B9D41331F861d442E1116ead16;;;tz1f8C3UzHL3sUVb9UYCuAsfnFaBtX1HzC3Q;;
DEAFBEEF;0xDEAFBEEF;"<p id="""">DEAFBEEF is a Canadian artist pushing the boundaries of on-chain generative art using nothing but the “bare-bones” C programming language. DEAFBEEF’s academic background includes a Master's in Electrical Engineering from the University of Toronto where he wrote papers regarding algorithmic simulations within computer code. Some of these academic papers act as the foundation for the <em id="""">Series 0-5</em> collection. Alongside making some of the most aesthetically technical and pleasing work, DEAFBEEF has a strong resume of generative on-chain projects that act as social commentaries regarding the often financialized world of NFTs. For years, DEAFBEEF has pursued a professional metalworking practice, creating furniture, decor, sculptures and jewelry. DEAFBEEF believes that blacksmithing shares similarities with the creation of computational systems, as each process requires crafting one's own tools and production systems using immediately available materials.</p>";;https://www.deafbeef.com/;https://twitter.com/_deafbeef;https://www.instagram.com/_deafbeef/?hl=en;0x7ccd2EE72a75F7e4776f598c1Be11A119fD8d191;;;;;
Dmitri Cherniak;;"<p id="""">Dmitri Cherniak is a Canadian artist and coder based in New York City. Since minting his first NFT in 2019, <em id="""">I am but a vessel</em>, Cherniak has continued his generative practice with series including <em id="""">Ringers</em>, <em id="""">The Eternal Pump</em>, <em id="""">The Wrapture </em>and <em id="""">Light Years</em>. He considers automation to be his primary artistic medium and hopes to elicit emotional responses from viewers even though it is generated without human interaction. Cherniak's art has been exhibited in galleries and museums worldwide such as LACMA, Art Basel, CADAF and ZKM Karlsruhe. Cherniak aims to positively impact the field of generative art by boosting its legitimacy in the mainstream art world. He has drawn inspiration from artists such as Piet Mondrian, Wassily Kandinsky, Vera Molnár and Manolo Gamboa Naon.</p>";October 18, 1988;;https://twitter.com/dmitricherniak;https://www.instagram.com/dmitricherniak/;0xE0753cfcAbB86c2828B79a3DDD4Faf6AF0db0EB4;;;;;
Eko33;Jean-Jacques Duclaux;"<p>Jean-Jacques Duclaux, known as Eko33, has been a prominent figure in generative art since 1999. His artistic journey, rooted in a fascination with computers, uniquely blends traditional techniques with digital innovation. Influenced by mid-century design and his studies in sociology and psychology, Duclaux's work probes human biases and objectivity. His art, often inspired by nature and environmental data, features algorithmically selected colors and complex patterns that challenge perceptions.<br>In his ""Neural Sediments"" series, showcased on Art Blocks Curated, Duclaux combines computation, observation, and aesthetic sensibility. His series, ""Terra Incognita,"" marks a new direction, integrating classic generative art elements with advanced algorithms and AI. This series invites viewers into a reimagined reality, highlighting Duclaux's ongoing innovation in digital art. Duclaux's international recognition includes exhibitions at prestigious venues like Art Basel Miami and the Venice Biennale, underscoring his influence in the global art landscape. His work captures life's transient beauty and pushes digital art's technological boundaries, cementing his status as a key figure in generative art.</p>";;https://www.eko33.com/;https://twitter.com/Eko3316;https://www.instagram.com/eko33studio/;0x45bf2b72202821562a84df7b3c9c8c2ba23c46d3;;;tz1KgQPu6JSgppkWCUBcqP9RFYhXKfCeDSG3;;
Elman Mansimov;;"<p id="""">Elman Mansimov is research scientist currently working on foundation LLM models at Amazon. He aspires to make progress in natural language processing and deep learning, leading to substantial benefits for users. With an undergraduate degree in Computer Science from University of Toronto and a Ph.D. from NYU, Mansimov helped lead of team of developers to create the innovative alignDRAW model. The model flipped an image labeling system to enact the opposite effect by turning text to an image. The artwork from alignDRAW was first published in the academic paper, ‘Generating Images from Captions with Attention’, garnering worldwide attention and sparking the immense development of AI generated images.</p>";;https://mansimov.io/;https://twitter.com/elmanmansimov;;;;;;;
Emily Xie;Courtesy of the artist;"<p id="""">Emily Xie is a visual artist &amp; engineer living in NYC. She works with algorithms to create lifelike textures and forms. She is interested in how disparate materials and patterns come together to create unified visuals, and the stories that each might bring into the fold. She draws inspiration from physical media such as textiles, collage, and wallpaper, and examines them within a digital context.<br><br>Her generative systems often navigate many delicate balances at once: the interplays between chance versus control, the organic versus the systematic, and the abstract versus the representational.<br><br>Xie's creative coding work is collected and shown internationally. Most recently, she has exhibited at Seattle NFT Museum, Kunsthalle Zürich, Unit London, the Armory Show, Bright Moments, Art Blocks Curated Season 6, Times Square, the StandardVision Artist Showcase throughout the city of Los Angeles.</p>";;https://xie-emily.com/;https://twitter.com/emilyxxie;;0x9F4633b29e89E10c869C8Ce2197C63df06EB5355;;;tz1MYUsro3v3SFiPAoV3mBADPLhYrU584MFz;;
Entangled Others;;<p>Entangled Others is the collaborative studio practice of artists Feileacan McCormick and Sofia Crespo. Their work centers around ecology, nature, and generative systems, aiming to give non-human entities a presence and life in the digital realm. The duo explores the intersections of biology-inspired technologies with questions of relationship, biodiversity, and awareness. Through their work, they emphasize how conscious efforts and new technology can bring attention to the interconnectedness and unseen aspects of our existence. Entanglement is a complex state where no entity can be considered separate or unaffected by others. We cannot exist without others, act without interacting, or speak without being heard.</p>;;https://entangledothers.studio/;https://entangledothers.studio/;https://www.instagram.com/entangledothers;;;;;;
Eric De Giuli;EDG, pepe xyz;<p>Eric De Giuli is a theoretical physicist and generative artist living in Canada. He is interested in self-organization and the emergence of complexity in the universe, which he explores at the intersection of art and science. He holds a Hon. B.S.c. in mathematics and physics from the University of Toronto, and an M.S.c. in geophysics and Ph.D. in applied mathematics, both from the University of British Columbia. He is currently Assistant Professor of Complexity Physics at Toronto Metropolitan University.</p>;;https://eeedg.ca/;https://x.com/eeedg__;https://www.instagram.com/eeedg_generative/;0xA0154806082520F28414Df5636203596Ec38BB3a;;;tz1XsSNeMumEDkdoUWhZw6yko1LXHGviRPoF;;
Erik Swahn;;"<p id="""">Erik Swahn is an artist and architect based in Sweden exploring the minute details of procedural art. Initially, Swahn’s artistic practice included physical mediums such as acrylic, ink and charcoal before transitioning to creative coding. He has released acclaimed projects across fx(hash) and Verse Works investigating color, pigment blending and overlapping forms with a pointillist style. Alongside Swahn’s digital art practice, he teaches at the KTH School of Architecture in Stockholm.</p>";;https://erikswahn.com/;https://twitter.com/erikswahn;https://www.instagram.com/e_swahn/;0xC8ce3Bd5BBf44Df44FA087eD929304Cc44AD848a;;;tz1WDJV8EC2WRegrn2W6A68RmZLyfZP8tzwJ;;
Ezra Miller;;<p>Ezra Miller is an artist working across digital disciplines to create real-time generative art, interactive websites, live performances, and immersive experiences. He has extensive experience working with electronic musicians as an art director, web developer and VJ, working extensively with critically-acclaimed artists signed to Warp Records and LuckyMe. Ezra has collaborated with brands including Balenciaga, Alexander Wang, and Adidas. At age 20, he was awarded an ADC Young Guns Award, one of the youngest winners ever.</p>;;https://ezramiller.biz/;https://x.com/ezzzrrra;https://www.instagram.com/ezzzrrra;0x7918b47759e8bCe8489F3b54Aad0eA71Ce6BDDbc;;;;;
Frederik Vanhoutte;wblut;"<p id="""">Frederik Vanhoutte is an artist and medical radiation physicist from Bruges, Belgium. He began sharing his work online in 2004 under the pseudonym Wintermute, which he later shortened to wblut. Vanhoutte states, ""Code gives me a way to play, to explore the odd behavior of our world, to find the systems beneath it all."" While working towards a PhD in physics, he discovered coding as a way to generate visual outputs. For over twenty years he has continued to evolve his practice and make significant contributions to the creative coding community.</p>";December 21, 1974;https://winterbloed.be/;https://twitter.com/wblut;https://www.instagram.com/wblut/;0x69e2aDf92dd9E69400D6a7ad6247A3d60BBEc3AF;;;tz1TSWEDs9wcBx2KiRzVzyzECsNpRiZaLJ1D;;
Frieder Nake;;"<p id="""">Frieder Nake is a mathematician, computer scientist and a pioneering figure in the development of computer-generated art. He is considered one of the founding fathers of digital or algorithmic art, producing his first works in 1963. His early work was influenced by Max Bense’s Information Aesthetics, which sought to develop objective scientific measures for aesthetic experience. Nake created his artwork using various programming languages from the earliest machines. In 1965, he exhibited his drawings at the Galerie Wendelin Niedlich in Stuttgart. His work was thereafter exhibited at many important international exhibitions of early computer art. Nake stopped producing computer art in 1971 due to political reasons. He did not resume his practice until the mid-1980s. Beginning in 1999, Nake established a project called ""compArt: a space for computer art"" to help document and record the significant early history of computer art. Since 2005 he has served as professor of computer science at the University of Bremen and also lectured at the University of the Arts in Bremen.</p>";December 16, 1938;;https://twitter.com/CarlCanary;;;;;;;
Ganbrood;Bas Uterwijk;"<p id="""">Bas Uterwijk, also known as Ganbrood, is a Dutch artist specializing in a myriad of mediums including special effects, 3D animation, videogames and photography. Combining his skills with generative adversarial networks (GANs) and artificial intelligence, he creates unique portraits of individuals who existed before photography or are entirely fictional. Beginning in 2021, Ganbrood began minting works on Hic et Nunc, exploring abstract ""pseudo-figurative"" pieces that challenge GANs' creativity and disrupt human visual recognition. Throughout his artistic journey, Ganbrood has found solace in storytelling and experimentation. From his early ventures in 3D tools and animation to his embrace of photography, he discovered that AI releases the burden of perfectionism, allowing him to find joy in the creative process.</p>";November 3, 1968;https://www.basuterwijk.com/;https://twitter.com/ganbrood;https://www.instagram.com/ganbrood/?hl=en;0x685e34c6A94F330fa494D708b652261140b55aBA;;;tz1eZ8amacCvSQsFM8wampwWXJFWsmGVRQFd;tz1ZqSZC9BZGoL3ZdHTKicypTZzR4PwHpHF4;
